BADWORDS_20150317_000107	{memo X}	썅년				
BADWORDS_20150317_000108	{memo X}	썅놈				
BADWORDS_20150317_000109	{memo X}	썅뇬				
BADWORDS_20150317_000110	{memo X}	쎅수				
BADWORDS_20150317_000111	{memo X}	쎅스				
BADWORDS_20150317_000112	{memo X}	쎅쑤				
BADWORDS_20150317_000113	{memo X}	쎅쓰				
BADWORDS_20150317_000114	{memo X}	쐑수				
BADWORDS_20150317_000115	{memo X}	쐑스				
BADWORDS_20150317_000116	{memo X}	쐑쑤				
BADWORDS_20150317_000117	{memo X}	쐑쓰				
BADWORDS_20150317_000118	{memo X}	쒝수				
BADWORDS_20150317_000119	{memo X}	쒝스				
BADWORDS_20150317_000120	{memo X}	쒝쑤				
BADWORDS_20150317_000121	{memo X}	쒝쓰				
BADWORDS_20150317_000122	{memo X}	쒸발				
BADWORDS_20150317_000123	{memo X}	쒸방				
BADWORDS_20150317_000124	{memo X}	씝년				
BADWORDS_20150317_000125	{memo X}	씨발				
BADWORDS_20150317_000126	{memo X}	씨방새				
BADWORDS_20150317_000127	{memo X}	씨방세				
BADWORDS_20150317_000128	{memo X}	씨방쉐				
BADWORDS_20150317_000129	{memo X}	씨밸				
BADWORDS_20150317_000130	{memo X}	씨밸년				
BADWORDS_20150317_000131	{memo X}	씨벨				
BADWORDS_20150317_000132	{memo X}	씨빡				
BADWORDS_20150317_000133	{memo X}	씨빨				
BADWORDS_20150317_000134	{memo X}	씨입년				
BADWORDS_20150317_000135	{memo X}	씨입뇬				
BADWORDS_20150317_000136	{memo X}	씹				
BADWORDS_20150317_000137	{memo X}	씹8				
BADWORDS_20150317_000138	{memo X}	씹넘				
BADWORDS_20150317_000139	{memo X}	씹년				
BADWORDS_20150317_000140	{memo X}	씹뇬				
BADWORDS_20150317_000141	{memo X}	씹때꺄				
BADWORDS_20150317_000142	{memo X}	씹때끼				
BADWORDS_20150317_000143	{memo X}	씹새				
BADWORDS_20150317_000144	{memo X}	씹새꺄				
BADWORDS_20150317_000145	{memo X}	씹새끼				
BADWORDS_20150317_000146	{memo X}	씹새키				
BADWORDS_20150317_000147	{memo X}	씹색꺄				
BADWORDS_20150317_000148	{memo X}	씹색끼				
BADWORDS_20150317_000149	{memo X}	씹색히				
BADWORDS_20150317_000150	{memo X}	씹세끼				
BADWORDS_20150317_000151	{memo X}	씹쉐				
BADWORDS_20150317_000152	{memo X}	씹쉐리				
BADWORDS_20150317_000153	{memo X}	씹쉐이				
BADWORDS_20150317_000154	{memo X}	씹쉑				
BADWORDS_20150317_000155	{memo X}	씹쉑히				
BADWORDS_20150317_000156	{memo X}	씹시끼				
BADWORDS_20150317_000157	{memo X}	씹쌔꺄				
BADWORDS_20150317_000158	{memo X}	씹쌔끼				
BADWORDS_20150317_000159	{memo X}	씹쌔키				
BADWORDS_20150317_000160	{memo X}	씹쎄끼				
BADWORDS_20150317_000161	{memo X}	씹씨키				
BADWORDS_20150317_000162	{memo X}	씹알				
BADWORDS_20150317_000163	{memo X}	씹창				
BADWORDS_20150317_000164	{memo X}	씹탱				
BADWORDS_20150317_000165	{memo X}	씹팔				
BADWORDS_20150317_000166	{memo X}	씹펄				
BADWORDS_20150317_000167	{memo X}	씹풀				
BADWORDS_20150317_000168	{memo X}	씹할				
BADWORDS_20150317_000169	{memo X}	아구지				
BADWORDS_20150317_000170	{memo X}	아구창				
BADWORDS_20150317_000171	{memo X}	아구통				
BADWORDS_20150317_000172	{memo X}	애널				
BADWORDS_20150317_000173	{memo X}	애미보지				
BADWORDS_20150317_000174	{memo X}	애미자지				
BADWORDS_20150317_000175	{memo X}	애비보지				
BADWORDS_20150317_000176	{memo X}	애비자지				
BADWORDS_20150317_000177	{memo X}	잠지				
BADWORDS_20150317_000178	{memo X}	저빱				
BADWORDS_20150317_000179	{memo X}	접밥				
BADWORDS_20150317_000180	{memo X}	젓가튼				
BADWORDS_20150317_000181	{memo X}	젓같은				
BADWORDS_20150317_000182	{memo X}	젓까				
BADWORDS_20150317_000183	{memo X}	젓까는				
BADWORDS_20150317_000184	{memo X}	젓밥				
BADWORDS_20150317_000185	{memo X}	젓빠지게				
BADWORDS_20150317_000186	{memo X}	젖가튼				
BADWORDS_20150317_000187	{memo X}	젖같은				
BADWORDS_20150317_000188	{memo X}	젖나게				
BADWORDS_20150317_000189	{memo X}	젖마난				
BADWORDS_20150317_000190	{memo X}	젖만한				
BADWORDS_20150317_000191	{memo X}	젖밥				
BADWORDS_20150317_000192	{memo X}	조까				
BADWORDS_20150317_000193	{memo X}	조까는				
BADWORDS_20150317_000194	{memo X}	조까튼				
BADWORDS_20150317_000195	{memo X}	조또				
BADWORDS_20150317_000196	{memo X}	조빱				
BADWORDS_20150317_000197	{memo X}	족같은				
BADWORDS_20150317_000198	{memo X}	족까				
BADWORDS_20150317_000199	{memo X}	졷까				
BADWORDS_20150317_000200	{memo X}	졷까는				
BADWORDS_20150317_000201	{memo X}	좁밥				
BADWORDS_20150317_000202	{memo X}	좃가튼				
BADWORDS_20150317_000203	{memo X}	좃같네				
BADWORDS_20150317_000204	{memo X}	좃같은				
BADWORDS_20150317_000205	{memo X}	좃까				
BADWORDS_20150317_000206	{memo X}	좃까는				
BADWORDS_20150317_000207	{memo X}	좃나				
BADWORDS_20150317_000208	{memo X}	좃나게				
BADWORDS_20150317_000209	{memo X}	좃도				
BADWORDS_20150317_000210	{memo X}	좃밥				
